,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
0,-0.56%,,-154.81,19.37M,,530.959B,Bitcoin USD,27411.24,16460641125.42651,BTC-USD,21.046B,0,21.046B,21.046B,0.5683392561314133,USD,503791616000.0,8.967123287671233,25868.318359375,0.31069684858959057,0.0326735114333989,0.03773466481718119,9.50913553392966
1,-1.03%,,-18.87,120.31M,,218.8B,Ethereum USD,1818.64,3058500984.374031,ETH-USD,10.458B,1,10.458B,10.458B,0.3222159352430878,USD,195971612672.0,5.8191780821917805,1630.152587890625,0.19283804140759256,0.015606857251785136,0.04903167311013074,12.355981623752948
2,+0.00%,,0.0,82.612B,,82.657B,Tether USD,1.0005,-76590349.46777052,USDT-USD,32.351B,2,32.351B,32.351B,-0.0014207600194950931,USD,82889654272.0,5.8191780821917805,0.9998732209205627,-0.0009816057657817414,-0.0009240037268878152,0.004215633402739836,1.0623396174904387
3,-0.09%,,-0.29,155.851M,,48.499B,BNB USD,311.19,1300376612.703989,BNB-USD,551.906M,3,551.906M,551.906M,1.23418768511999,USD,32938838016.0,5.8191780821917805,214.0969696044922,0.5550059807083876,0.039478521132783516,0.05578741609755581,14.058428856584063
4,-0.01%,,-0.000112,30.13B,,30.128B,USD Coin USD,0.999932,-9032977.287367769,USDC-USD,4.65B,4,4.65B,4.65B,-0.0004459359247509509,USD,26181836800.0,4.906849315068493,1.0000189542770386,-0.0003079477169959967,-0.00034500930383034735,0.0035419762204007676,0.8925780075409935
5,-0.35%,,-0.001466,51.838B,,21.936B,XRP USD,0.423159,168487733.52919495,XRP-USD,1.014B,5,1.014B,1.014B,0.1543497805248264,USD,26563233792.0,5.8191780821917805,0.5014041066169739,0.09909967305912547,0.00634289239211297,0.06199895040920654,15.623735503120049
6,+28.68%,,0.016663,173.411B,,12.963B,HEX USD,0.074755,10905027.170151768,HEX-USD,45.866M,6,45.866M,45.866M,1.3002727207021176,USD,654798912.0,3.7150684931506848,0.0037759924307465553,0.5751314463322206,0.016654009300112838,0.1370401326820452,34.53411343587539
7,+0.34%,,0.001234,34.842B,,12.596B,Cardano USD,0.361527,135457946.8503848,ADA-USD,340.309M,7,340.309M,340.309M,0.427806428096839,USD,8932054016.0,5.8191780821917805,0.25463441014289856,0.24588247573726688,0.015165374795958331,0.06433893808734328,16.213412398010508
8,-0.65%,,-11.86,6.461M,,11.745B,Lido Staked ETH USD,1817.86,313567528.21551263,STETH-USD,17.955M,8,17.955M,17.955M,0.4586805376043155,USD,13915664384.0,2.695890410958904,1628.8450927734375,0.26065242741011146,0.022533421298665937,0.04590226294071201,11.567370261059425
9,-1.59%,,-0.001158,139.299B,,9.987B,Dogecoin USD,0.071698,213459053.97085863,DOGE-USD,357.335M,9,357.335M,357.335M,0.9210670922831494,USD,8902547456.0,5.8191780821917805,0.06320346891880035,0.4507560653113703,0.023977300320594735,0.07460033118699423,18.799283459122545
