,NAME OF COMPANY,SYMBOL,Sscore,address1,address2,ask,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bookValue,cagr,city,compensationAsOfEpochDate,country,currency,currentPrice,dayHigh,dayLow,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,exchange,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,financialCurrency,firstTradeDateEpochUtc,floatShares,gmtOffSetMilliseconds,grossMargins,grossProfits,industry,kendall,lastFiscalYearEnd,longBusinessSummary,longName,marketCap,market_cagr,maxAge,mostRecentQuarter,netIncomeToCommon,net_cagr,nextFiscalYearEnd,open,operatingMargins,payoutRatio,pearson,period,phone,previousClose,price,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,quoteType,recommendationKey,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,returns,revenueGrowth,revenuePerShare,sector,sharesOutstanding,sharp_ratio,shortName,spearman,std,symbol,timeZoneFullName,timeZoneShortName,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEps,trailingPE,trailingPegRatio,twoHundredDayAverage,underlyingSymbol,uuid,volitility,volume,website,zip
0,20 Microns Limited,20MICRONS.NS,73194923.46140625,"347, GIDC Industrial Estate",Waghodia,0.0,27760.0,140712.0,27760.0,0.567366,0.0,83.205,0.14480069876856505,Vadodara,1703980800.0,India,INR,115.0,115.55,115.0,36.595,0.125,0.125,857102528.0,0.12134,5.758,0.699,4935123968.0,NSI,106.0,122.0,63.05,INR,1223264700.0,13556721.0,19800000.0,0.47303,,Other Industrial Metals & Mining,0.2012393618979177,1680220800.0,"20 Microns Limited engages in the industrial micronized minerals and specialty chemicals businesses primarily in India and internationally. The company offers industrial minerals, such as ground calcium, carbonate, dolomite, hydrous and calcined kaolins, talcs, natural barytes, silica/quartz, muscovite mica, feldspar/nepheline syenite, diatomaceous and siliceoaus earth, bentonite and attapulgite, and natural red oxide. It also provides functional additives, including white, buff and colored, rutile TiO2, white pigment opacifiers, synthetic barium sulphate, micronized wax, anti-blocking and rheological additives, matting agents, inorganic thickeners, flame retardants, calcium oxide desiccant, activators for rubber, high aspect ratio talc, sub-micron CaCO3, and decorative colored quartz sand; and fumed, precipitated, and amorphous silica. It serves paints and coatings, inks and pigments, plastics and polymer, paper, rubber, cosmetics, ceramics, adhesive and sealant, oil-well drilling, agrochemicals, and foundry and other industries. 20 Microns Limited was incorporated in 1987 and is headquartered in Vadodara, India.",20 Microns Limited,4073863424.0,0.0956230560312481,86400.0,1688083200.0,434724000.0,0.04917764273731695,1711843200.0,115.55,0.104890004,0.0,0.29995839377264544,12.668493150684931,,115.55,115.0,2.0,1.3821285,0.5767426,0.061539996,EQUITY,buy,115.55,115.0,115.55,115.55,8642.0,0.13823829314536434,0.025,200.193,Basic Materials,35286500.0,0.017966955649568246,20 MICRONS LTD,0.29647548867291174,0.030531864498253476,20MICRONS.NS,Asia/Kolkata,IST,202819008.0,5.748,1078291968.0,7063572992.0,0.0,0.0,11.85,9.704641,,89.3955,20MICRONS.NS,036509d4-9f25-3099-a500-d68f5173bb13,7.694029853559876,8642.0,https://www.20microns.com,391760
1,21st Century Management Services Limited,21STCENMGM.NS,-4604282.080930729,Grease House,1st Floor Zakaria Bunder Road Sewri West,0.0,9462.0,6060.0,9462.0,0.37136,0.0,19.714,-0.08603685690983098,Mumbai,,India,INR,18.75,19.05,18.4,48.31,,,-161530256.0,0.0,-1.774,-6.912,286473984.0,NSI,20.627,28.3,16.5,INR,1515642300.0,2914065.0,19800000.0,0.0,,Capital Markets,0.04463761312882393,1680220800.0,"Twentyfirst Century Management Services Limited engages in investments in instruments in India. It trades in shares and securities in the capital, and futures and options markets. The company was incorporated in 1986 and is based in Mumbai, India.",Twentyfirst Century Management Services Limited,196875008.0,0.1199935477337486,86400.0,1688083200.0,-163392000.0,-0.20603040464357958,1711843200.0,18.75,3.91133,0.0,0.07084902321639139,5.641095890410959,91 22 2419 1106,18.7,18.75,2.0,0.9511007,-4.749928,0.0,EQUITY,none,19.05,18.4,18.75,18.7,10323.0,-0.09180929469270903,,-3.948,Financial Services,10500000.0,-0.023386828667104002,21ST CENTURY MANAG,0.06728842146305578,0.015578110361726731,21STCENMGM.NS,Asia/Kolkata,IST,6201000.0,0.591,100000000.0,-41448000.0,0.0,0.0,-15.48,,,20.295,21STCENMGM.NS,39cbe94d-bf90-3283-8a27-0b48853b453a,3.925683811155136,10323.0,https://www.tcms.bz,400015
2,360 ONE WAM LIMITED,360ONE.NS,3960666767.1839437,360 ONE Centre,Kamala City Senapati Bapat Marg Lower Parel (West),0.0,466911.0,355840.0,466911.0,0.35606,0.0,87.764,0.15713453260749843,Mumbai,1703980800.0,India,INR,477.6,494.7,475.0,216.977,0.16,0.174,13491175424.0,0.62711,17.859,11.2,240942727168.0,NSI,500.489,545.0,395.1,INR,1568864700.0,173883346.0,19800000.0,0.71419996,,Asset Management,0.16240433078536923,1680220800.0,"360 One Wam Limited offers wealth and asset management services primarily in India. The company operates through Wealth Management and Asset Management segments. It offers wealth management products and services, such as financial product distribution; advisory, equity and debt broking, and estate planning services; financial products management; and lending and investment services. The company also provides asset management solutions, including mutual funds, alternative asset funds, portfolio management, and related services. It serves professionals, industrialists, corporate treasuries, senior executives, large traders, funds, endowments, family offices, and entrepreneurs. The company was formerly known as IIFL Wealth Management Limited and changed its name to 360 One Wam Limited in January 2023. 360 One Wam Limited was incorporated in 2008 and is based in Mumbai, India.",360 One Wam Limited,170544758784.0,0.16218703651213184,86400.0,1688083200.0,6851100160.0,-0.00505250390463341,1711843200.0,494.7,0.60289,0.8634,0.3254162344618314,3.9534246575342467,91 22 4876 5600,487.35,477.6000061035156,2.0,5.441867,7.9273734,0.31846002,EQUITY,strong_buy,494.7,475.0,494.7,487.35,969858.0,0.14821744920115443,0.209,60.45,Financial Services,357087008.0,0.02322362056403179,360 ONE WAM LIMITED,0.23592548264377314,0.025326132044539932,360ONE.NS,Asia/Kolkata,IST,7255600128.0,20.334,67836698624.0,21513400320.0,16.25,0.03334359,18.8,25.404257,,453.60287,360ONE.NS,fc944cbf-537b-3607-99f7-75dc6eaa7902,6.382185275224063,969858.0,https://www.360.one,400013
3,3i Infotech Limited,3IINFOLTD.NS,-128337844.2587585,Tower # 5,3rd to 6th Floors International Infotech Park Vashi,0.0,554185.0,676843.0,554185.0,0.965132,0.0,38.187,-0.20524886235274076,Navi Mumbai,1672444800.0,India,INR,32.8,33.35,32.5,15.438,,,-321275008.0,-0.043169998,-18.126,0.782,5823508480.0,NSI,33.567,54.2,26.25,INR,1114141500.0,148042975.0,19800000.0,0.074499995,,Information Technology Services,0.19991814759813065,1680220800.0,"3i Infotech Limited provides IP based software solutions and information technology services in India, North America, the Asia Pacific, the Middle East, Africa, Europe, the Kingdom of Saudi Arabia, and South Asia. It operates through two segments, IT Solutions and Transaction Services. The company offers NuRe Edge, a 5G-ready platform that provides consolidated secure access services in one single platform; NuRe desk that provides zero trust-based end user computing solutions; NuRe 3i, a solution that designs, constructs, and manages full-stack cloud solutions, including maintenance of crucial operational applications supporting the eco-system in the cloud; NuRe 3i+, an enterprise-grade cloud converged infrastructure that allows customers to consolidate business critical middleware and application workloads on the Oracle OCI or at the edge; and NuRe Velocity, an ecosystem of people, processes, and technology that supports back office, front office, and middle-order processes. It also offers enterprise services, such as digital application management and digital infrastructure management services; digital business services that includes cloud first, digital business process services, and digital collection; future tech services, such as 5G tech solution and service enabler, and lab and cognitive services; intelligent automation that includes robotics process and hyper automation, testing and quality assurance, and data and analytics, as well as biometrics identity management. The company serves customers in banking, insurance, media and entertainment, capital markets, asset and wealth management, government, manufacturing, retail, distribution, telecom, and healthcare industry verticals. 3i Infotech Limited was incorporated in 1993 and is headquartered in Navi Mumbai, India.",3i Infotech Limited,5538017280.0,0.0956230560312481,86400.0,1688083200.0,-127000000.0,-0.30087191838398886,1711843200.0,32.75,-0.080240004,0.0,0.24012996611119874,12.668493150684931,91 22 7123 8000,32.75,32.79999923706055,2.0,0.858931,0.74408716,-0.01706,EQUITY,none,33.35,32.5,32.75,32.75,700537.0,-0.23476053770691208,0.085,43.541,Technology,168636000.0,-0.02317396963029312,3i Infotech Limited,0.2877921446643913,0.04019982118761005,3IINFOLTD.NS,Asia/Kolkata,IST,667299968.0,3.981,992400000.0,7442699776.0,0.0,0.0,0.08,410.0,,35.23425,3IINFOLTD.NS,c0324eed-50fe-30f7-ac32-33d1ab958169,10.130354939277732,700537.0,https://www.3i-infotech.com,400 703
4,3M India Limited,3MINDIA.NS,12978141455.638561,WeWork Prestige Central,3rd floor 36 Infantry Road Tasker Town,0.0,3035.0,3957.0,3035.0,0.299932,0.0,1489.09,0.1879358629921164,Bengaluru,1703980800.0,India,INR,31151.35,31400.0,31001.0,1.595,0.533,0.534,6693498368.0,0.16464001,52.172,8.59,349215227904.0,NSI,28487.607,31989.0,21300.45,INR,1025495100.0,2610455.0,19800000.0,0.38176,14860748000.0,Conglomerates,0.18830623775986707,1680220800.0,"3M India Limited manufactures and trades in various products for health care, manufacturing, automotive, safety, electronics, energy, commercial solutions, transportation, and design and construction industries in India. The company operates through four segments: Safety and Industrial, Health Care, Transportation and Electronics, and Consumer. The Safety and Industrial segment offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as scotch masking tapes, scotch filament and packaging tapes, functional and decorative graphics, abrasion-resistant films, masking tapes, and other specialty materials. This segment serves industrial, electrical, vehicle maintenance, and safety markets. The Health Care segment provides medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. The Transportation and Electronics segment offers personal protection products, brand and asset protection solutions, border control products, passive fire protection products for industries and commercial establishments, track and trace products, and cleaning and hygiene products for the hospitality industry, as well as traffic signs, and pavement marking and vehicle registration products and services; films, inks, and digital signage products; wall and glass cladding products; and projection systems, computer and ATM-screen privacy filters, and brightness enhancement films. The Consumer segment provides home and office tapes, adhesives, and packaging protection platforms under the Scotch brand; note pads, dispensers, flagging solution, and labels under the Post-it brand; and stain protection products under the Scotchguard brand. It also exports its products. 3M India Limited was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited is a subsidiary of 3M Company.",3M India Limited,350923063296.0,0.0956230560312481,86400.0,1688083200.0,4959716864.0,0.0923128069608683,1711843200.0,31400.0,0.15564999,1.9305999,0.3293505625920926,12.668493150684931,91 80 2223 1414,31153.55,31151.349609375,2.0,20.919724,8.631886,0.122,EQUITY,none,31400.0,31001.0,31400.0,31153.55,2485.0,0.17604760550157428,0.112,3608.832,Industrials,11265100.0,0.036982868363632265,3M INDIA LTD,0.2755698542105392,0.01888987090628733,3MINDIA.NS,Asia/Kolkata,IST,7982053888.0,708.567,267474000.0,40654274560.0,0.0,0.0,440.42,70.731,,24630.762,3MINDIA.NS,5c0fa4db-c41d-337e-b22d-5a1c081005f0,4.760247468384407,2485.0,https://www.3mindia.in,560001
5,3P Land Holdings Limited,3PLAND.NS,,,,0.0,6184.0,7902.0,6184.0,,0.0,,-0.007851254868605939,,,,INR,,21.2,20.8,,,,,,,,,NSI,19.965,36.65,14.5,,1205207100.0,,19800000.0,,,,0.04822664920024671,,,3P Land Holdings Ltd,,0.0956230560312481,86400.0,,,-0.10347431089985404,,21.0,,,0.08503202207300815,12.668493150684931,,21.0,20.950000762939453,2.0,,,,EQUITY,,21.2,20.8,21.0,21.0,3729.0,-0.008060132120349157,,,,,-0.0008366260657995632,3P LAND HOLDINGS L,0.0699691224637513,0.03823052206801505,3PLAND.NS,Asia/Kolkata,IST,,,,,,,,,,21.09125,3PLAND.NS,c5468b35-0308-390a-a771-1d5a0d7b1b59,9.634091561139792,3729.0,,
6,Fourth Dimension Solutions Limited,4THDIM.NS,-55308980.1866473,,,0.0,72752.0,102850.0,72752.0,,0.0,,-0.2876972340201457,,,,INR,13.45,13.45,13.45,,,,,,,,,NSI,16.268,44.0,4.8,INR,1489549500.0,,19800000.0,,19748000.0,,0.001458744993327783,,,Fourth Dimension Solutions Limited,2190493952.0,0.13154387627395203,86400.0,,,-0.4192411102940977,,13.45,,,0.00176183618337049,6.468493150684932,,13.45,18.049999237060547,2.0,,,,EQUITY,none,13.45,13.45,13.45,13.45,9681.0,-0.3460585573002788,,,,,-0.025249547087837523,Fourth Dimension Sol L,0.0012398732562204557,0.05438704458649699,4THDIM.NS,Asia/Kolkata,IST,,,,,0.0,0.0,,9.539007,,23.9228,4THDIM.NS,f624b19e-d577-3562-a5fc-1be660e8112f,13.705535235797242,9681.0,,
7,5Paisa Capital Limited,5PAISA.NS,192228479.61939123,"IIFL House, Sun Infotech Park","Road No. 16V Plot No. B-23, MIDC Thane Industrial Area, Wagle Estate",0.0,63506.0,156589.0,63506.0,1.312457,0.0,153.306,0.12162054346809037,Thane,1703980800.0,India,INR,449.45,465.0,445.5,36.542,0.884,0.967,,0.0,,0.783,2514009856.0,NSI,423.996,485.0,270.1,INR,1510803900.0,8184232.0,19800000.0,1.0,3229350000.0,Capital Markets,0.2199504151332861,1680220800.0,"5paisa Capital Limited provides an online technology platform for trading in National Stock Exchange of India Limited, BSE Limited, and MCX. The company offers financial services, including online discounted stock broking, depository services; distributes mutual funds, bonds, and debentures, as well as insurance products; and provides equity and mutual fund research, investment advisory services, etc. It provides peer-to-peer lending services through its platform 5paisa and mobile app 5Paisa Loans. In addition, the company offers its services through a web-based trading terminal, mobile application, and a state of the art call and trade unit. It serves retail investors and high-volume traders. 5paisa Capital Limited was incorporated in 2007 and is headquartered in Thane, India.",5paisa Capital Limited,13792182272.0,0.12462931002414535,86400.0,1688083200.0,507134016.0,-0.003008766556054976,1711843200.0,452.5,0.21018,0.0,0.3273843466695386,5.794520547945205,91 22 4103 5000,448.6,449.45001220703125,2.0,2.9317183,4.2980585,0.15804,EQUITY,hold,465.0,445.5,452.5,448.6,57436.0,0.11703631560935424,0.027,105.142,Financial Services,30635900.0,0.013937495591951472,5PAISA CAPITAL LTD,0.32222449432482053,0.03332232973869707,5PAISA.NS,Asia/Kolkata,IST,13011891200.0,424.321,1692834048.0,3208933120.0,0.0,0.0,16.33,27.522964,,338.9005,5PAISA.NS,b7de9c08-c783-3d51-bad9-f4b0f78f5da0,8.397227094151662,57436.0,https://www.5paisa.com,400604
8,63 moons technologies limited,63MOONS.NS,-80434195.16698498,FT Tower,"CTS No. 256 & 257 Suren Road, Chakala Andheri (East)",0.0,572005.0,541304.0,572005.0,0.85545,0.0,675.988,-0.05081282292350375,Mumbai,1672444800.0,India,INR,333.95,347.25,327.0,0.136,,,362977984.0,0.099659994,-10.18,-1.014,-3695128832.0,NSI,264.308,360.7,140.55,INR,1119239100.0,15698428.0,19800000.0,0.5205,1251358000.0,Software—Application,0.23087236816549864,1680220800.0,"63 moons technologies limited provides computer programming, consulting, and related services in India and internationally. The company provides DOME, an online trading software; POWERARMS, an electronic trading, risk management, and clearing and settlement platform for energy markets; MARKETXSTREAM that provides advanced analytics and quantification; FOVEA, an agile risk management solution; and CNS, a clearing and settlement application. It also provides Risk Management solution to identify and mitigate risks; DMATS, a depository for multi asset transaction system; e-KYC, an online client on-boarding solution; Trading core, an order management and risk management system; a web-based trading platforms under the TRADEDART, Dealer, and Diet names. In addition, the company offers Program Trading, an ultra-low latency high frequency trading platform; Aero; Institutional, an execution solution; Protector, a post-trade risk management solution; Match for end-to-end post-trade; STP-Gate, a single window post-trade transaction processing service; and e-Hastakshar, a digital document signing solution. Further, it provides Voice Cast, a voice messaging service; BTS clous services, an IT infrastructure and application management solution; Tech Trader that automates trading; Voice Logger, a call management and recording solution; mutual fund solution; wave 2.0, a mobile trading application; and Riskalculator and DataCollector. Further, it provides trading, procurement, process management, risk consultancy, shared business support, IT infrastructure sharing, NBFC, Internet telecommunication, training, and certification and franchise services. The company was formerly known as Financial Technologies (India) Limited and changed its name to 63 moons technologies limited in May 2016. The company was incorporated in 1988 and is based in Mumbai, India.",63 moons technologies limited,15435103232.0,0.0956230560312481,86400.0,1688083200.0,269156992.0,-0.14643587895475185,1711843200.0,337.0,0.02722,0.0,0.2552861226885323,12.668493150684931,91 22 6686 8010,330.75,333.95001220703125,2.0,0.4940177,4.2377152,0.0739,EQUITY,none,347.25,327.0,337.0,330.75,646797.0,-0.05329207832459817,1.813,78.959,Technology,46078500.0,-0.005211121296566977,63 MOONS TECHNOLOG,0.3350652323967397,0.04058176527715947,63MOONS.NS,Asia/Kolkata,IST,18526222336.0,401.847,42019000.0,3642317056.0,0.0,0.0,5.77,57.876953,,195.363,63MOONS.NS,398c5bc2-0bb2-30eb-8e66-74bf3337937a,10.226604849844186,646797.0,https://www.63moons.com,400093
9,A2Z Infra Engineering Limited,A2ZINFRA.NS,-54823138.33327819,"Plot No. B-38, Sector 32",Institutional Area Jharsa Chowk,0.0,788572.0,357170.0,788572.0,0.761679,0.0,2.161,-0.23580050529216212,Gurugram,1609372800.0,India,INR,10.75,11.1,10.75,1090.851,,,258136000.0,0.07074,19.38,1.371,5002598912.0,NSI,7.758,13.45,5.1,INR,1293075900.0,108078041.0,19800000.0,0.15449001,,Engineering & Construction,0.22877300320661567,1680220800.0,"A2Z Infra Engineering Limited offers engineering, procurement, construction, and facility management services in India and internationally. The company operates through Engineering Services, Facility Management Services, Power Generation Projects, Municipal Solid Waste Management, and Others segments. It offers integrated design, testing, installation, construction, and commissioning services, as well as telecom infrastructure projects. The company's activities include rural and railway electrification, reduction of AT&C losses, and feeder renovation and segregation; underground cabling; installation of high and low voltage distribution system; erection of distribution lines; renewable energy; construction of substations and transmission lines; and operation and maintenance of electric utilities. It also provides system integration of IT projects; and optical fiber cable NLD/access networking construction and maintenance, network integration, telecom infrastructure operation and maintenance, material planning and project management, radio frequency engineering, and engineering construction and infrastructure services. In addition, the company is involved in the collection, transportation, treatment, and disposal of solid waste generated in cities; trade of goods; rental of equipment; manufacture of electrical equipment; and provision of operation and maintenance services, etc. Further, it provides facility management services for corporate offices, malls, railways stations and coaches, airports, ports, other commercial establishments, monuments, and parks and beaches; operates sewage network and treatment plants, gas distribution networks, and metro projects; and offers power and renewable energy generation services. The company was formerly known as A2Z Maintenance & Engineering Services Limited and changed its name to A2Z Infra Engineering Limited in October 2014. A2Z Infra Engineering Limited was incorporated in 2002 and is based in Gurugram, India.",A2Z Infra Engineering Limited,1918745984.0,0.0956230560312481,86400.0,1688083200.0,-1210032000.0,-0.3314235613234102,1711843200.0,10.75,0.04632,0.0,0.31182337098925467,12.668493150684931,91 12 4451 7600,11.3,10.75,2.0,4.974549,0.5258371,-0.33161,EQUITY,none,11.1,10.75,10.75,11.3,163656.0,-0.2749077377967053,0.196,20.707,Industrials,176120000.0,-0.02857237945535066,A2Z INFRA ENGINEER,0.33506690745507495,0.038180359571390446,A2ZINFRA.NS,Asia/Kolkata,IST,120607000.0,0.689,3134351872.0,3648935936.0,0.0,0.0,-7.2,,,8.159,A2ZINFRA.NS,b72b4b76-89d8-3056-9318-ecf747a3f4c9,9.621450611990392,163656.0,https://www.a2zgroup.co.in,122001
